,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,dubna,56.73,37.17,45.45,78,60,8.25,RU,1603896424
299,ko samui,9.54,99.94,83.3,74,100,14.25,TH,1603896424
300,san rafael,-34.62,-68.33,61.23,32,0,5.01,AR,1603896424
301,iqaluit,63.75,-68.51,17.6,67,90,11.41,CA,1603896424
302,nhulunbuy,-12.23,136.77,78.8,83,4,3.36,AU,1603896424
303,zanjan,36.67,48.48,66.2,22,0,4.7,IR,1603896145
304,alamor,-4.02,-80.02,78.8,73,20,4.7,EC,1603896424
305,karratha,-20.74,116.85,70.79,90,0,4.05,AU,1603896379
306,shasta lake,40.68,-122.37,53.01,36,0,1.01,US,1603896424
307,nongstoin,25.52,91.27,62.24,94,0,3.58,IN,1603896424
308,south river,40.45,-74.39,55.0,95,100,4.27,US,1603896424
309,kirovskiy,45.09,133.51,34.32,84,49,5.06,RU,1603896425
310,chittaurgarh,24.88,74.63,72.9,25,0,1.57,IN,1603896425
311,marawi,8.0,124.29,75.0,88,51,18.99,PH,1603896425
312,camacari,-12.7,-38.32,86.0,70,40,18.34,BR,1603896425
313,krasnik,50.92,22.23,57.0,100,90,5.82,PL,1603896425
314,palmer,42.16,-72.33,46.0,93,90,3.36,US,1603896425
315,xuddur,4.12,43.89,78.73,70,97,7.94,SO,1603896425
316,kanungu,-0.96,29.79,70.2,84,63,2.42,UG,1603896425
317,santa isabel do rio negro,-0.41,-65.02,95.56,50,79,2.53,BR,1603896426
318,inhambane,-23.86,35.38,76.98,74,0,11.74,MZ,1603896426
319,hoddesdon,51.76,-0.01,54.0,76,100,12.75,GB,1603896426
320,dingle,11.0,122.67,77.47,85,93,3.29,PH,1603896426
321,kavaratti,10.57,72.64,82.29,75,1,6.46,IN,1603896426
322,lewistown,40.6,-77.57,51.01,100,90,4.16,US,1603896426
323,camacha,33.08,-16.33,69.8,68,20,10.29,PT,1603896426
324,turukhansk,65.82,87.98,11.53,91,100,15.86,RU,1603896426
325,leshukonskoye,64.9,45.76,42.62,93,100,13.58,RU,1603896426
326,carutapera,-1.2,-46.02,89.28,56,50,10.76,BR,1603896426
327,grand gaube,-20.01,57.66,75.0,71,97,5.99,MU,1603896427
328,miles city,46.41,-105.84,37.0,81,49,4.0,US,1603896427
329,sinnai,39.3,9.2,68.0,49,20,17.22,IT,1603896427
330,koslan,63.46,48.9,39.99,94,100,12.15,RU,1603896427
331,terracina,41.29,13.22,68.0,45,0,9.17,IT,1603896427
332,tebingtinggi,3.33,99.16,82.4,94,40,3.36,ID,1603896427
333,penzance,50.12,-5.54,50.0,93,20,19.46,GB,1603896427
334,urumqi,43.8,87.6,48.2,42,0,6.71,CN,1603896427
335,pontalina,-17.52,-49.45,80.49,72,31,15.73,BR,1603896427
336,melilla,35.29,-2.94,69.8,52,20,6.93,ES,1603896427
337,nanortalik,60.14,-45.24,32.36,96,100,11.18,GL,1603896427
338,skibotn,69.39,20.27,35.6,81,0,2.24,NO,1603896428
339,el bagre,7.59,-74.81,87.13,66,66,1.25,CO,1603896428
340,ibra,22.69,58.53,71.24,29,0,4.21,OM,1603896428
341,asau,46.43,26.4,54.0,85,16,2.48,RO,1603896428
342,tigil,57.8,158.67,31.82,93,0,4.94,RU,1603896428
343,macheng,31.18,115.03,61.95,77,96,2.86,CN,1603896428
344,chhagalnaiya,23.03,91.51,77.36,83,0,2.89,BD,1603896428
345,zyryanka,65.75,150.85,3.49,91,97,0.74,RU,1603896428
346,eschwege,51.18,10.07,55.99,84,59,4.0,DE,1603896428
347,faanui,-16.48,-151.75,80.06,79,80,18.1,PF,1603896429
348,aklavik,68.22,-135.01,12.2,85,90,5.82,CA,1603896130
349,rayagada,19.17,83.42,72.12,66,1,2.59,IN,1603896429
350,wiener neudorf,48.08,16.32,61.0,67,0,3.36,AT,1603896337
351,maua,-23.67,-46.46,84.2,32,0,13.87,BR,1603896211
352,norman wells,65.28,-126.83,12.2,92,90,2.24,CA,1603896429
353,ostersund,63.18,14.64,43.0,81,90,11.41,SE,1603896429
354,brigantine,39.41,-74.36,64.99,88,90,8.05,US,1603896429
355,cayenne,4.93,-52.33,89.6,59,20,10.29,GF,1603896429
356,mehamn,71.04,27.85,39.2,80,40,16.11,NO,1603896429
357,dongzhen,22.38,110.94,70.12,88,98,6.02,CN,1603896429
358,la ronge,55.1,-105.28,21.2,85,90,4.7,CA,1603896430
359,port-cartier,50.03,-66.87,27.0,92,75,7.36,CA,1603896430
360,sibolga,1.74,98.78,78.04,77,100,2.24,ID,1603896430
361,ilulissat,69.22,-51.1,17.6,48,75,8.05,GL,1603896430
362,trinidad,-14.83,-64.9,94.01,44,71,10.22,BO,1603896345
363,fortuna,40.6,-124.16,44.6,70,1,6.93,US,1603896430
364,vila,42.03,-8.16,57.99,79,98,5.99,PT,1603896430
365,mumford,5.26,-0.76,80.58,81,51,13.49,GH,1603896430
366,carbonia,39.17,8.52,68.0,59,40,13.87,IT,1603896431
367,naduvattam,11.48,76.57,54.46,100,9,2.57,IN,1603896431
368,hauterive,46.09,3.45,59.0,62,75,17.22,FR,1603896431
369,pingliang,35.54,106.69,43.07,77,0,3.89,CN,1603896431
370,mahajanga,-15.72,46.32,84.2,70,20,11.41,MG,1603896431
371,lompoc,34.64,-120.46,48.2,49,1,9.17,US,1603896408
372,oranjemund,-28.55,16.43,63.09,68,83,14.41,NA,1603896431
373,kununurra,-15.77,128.73,80.6,83,66,1.12,AU,1603896431
374,cap malheureux,-19.98,57.61,75.0,71,96,5.99,MU,1603896431
375,yeppoon,-23.13,150.73,64.4,93,40,5.64,AU,1603896431
376,ust-karsk,52.7,118.81,25.3,83,0,1.99,RU,1603896431
377,lobito,-12.35,13.55,78.96,74,0,8.75,AO,1603896431
378,luderitz,-26.65,15.16,64.09,63,19,21.0,NA,1603896432
379,northam,51.03,-4.22,53.01,80,100,17.0,GB,1603896432
380,ler,8.3,30.14,86.68,55,23,3.74,SS,1603896432
381,qaqortoq,60.72,-46.03,30.2,80,75,3.29,GL,1603896432
382,hammerfest,70.66,23.68,35.6,100,75,5.82,NO,1603896432
383,westport,41.14,-73.36,50.0,93,90,9.17,US,1603896432
384,alyangula,-13.85,136.42,78.8,83,75,4.7,AU,1603896432
385,bow island,49.87,-111.37,37.4,86,90,10.29,CA,1603896302
386,culfa,38.96,45.63,64.4,42,20,4.7,AZ,1603896432
387,kirkuk,35.47,44.39,72.54,19,100,4.52,IQ,1603896432
388,coihaique,-45.58,-72.07,48.2,49,40,8.05,CL,1603896433
389,angra dos reis,-23.01,-44.32,95.0,32,0,8.05,BR,1603896433
390,safaga,26.73,33.94,89.6,46,0,3.36,EG,1603896433
391,kudahuvadhoo,2.67,72.89,83.61,75,84,12.93,MV,1603896433
392,belaya gora,68.53,146.42,2.17,93,100,1.52,RU,1603896433
393,bengkulu,-3.8,102.27,76.57,86,100,3.56,ID,1603896433
394,mala,-12.66,-76.63,69.71,65,69,8.12,PE,1603896434
395,mae hong son,19.3,97.97,73.11,83,99,1.57,TH,1603896212
396,palu,-0.89,119.87,77.0,78,100,2.53,ID,1603896434
397,sakakah,29.97,40.21,91.4,8,0,4.94,SA,1603896434
398,sagua la grande,22.81,-80.08,83.57,76,34,15.35,CU,1603896434
399,los llanos de aridane,28.66,-17.92,75.2,53,90,5.82,ES,1603896434
400,asyut,27.18,31.18,86.0,42,0,13.87,EG,1603896434
401,itaituba,-4.28,-55.98,87.8,66,40,4.7,BR,1603896434
402,dicabisagan,17.08,122.42,79.3,83,98,3.04,PH,1603896434
403,siilinjarvi,63.08,27.67,46.4,87,90,10.29,FI,1603896435
404,beyneu,45.32,55.2,42.71,59,0,11.86,KZ,1603896435
405,san andres,12.58,-81.7,83.64,79,92,10.45,CO,1603896435
406,klaksvik,62.23,-6.59,46.4,81,75,19.46,FO,1603896435
407,lake city,30.19,-82.64,82.99,74,1,8.05,US,1603896335
408,pangai,-19.8,-174.35,74.01,74,47,21.47,TO,1603896435
409,tulskiy,44.51,40.18,63.88,54,0,4.92,RU,1603896435
410,imbituba,-28.24,-48.67,84.2,32,20,3.36,BR,1603896186
411,itarema,-2.92,-39.92,87.91,55,3,18.03,BR,1603896435
412,goderich,43.75,-81.72,44.01,78,34,20.54,CA,1603896303
413,aventura,25.96,-80.14,86.0,79,75,10.29,US,1603896283
414,ampanihy,-24.7,44.75,75.92,64,0,19.77,MG,1603896435
415,baturaja,-4.13,104.17,74.8,93,99,1.48,ID,1603896435
416,kaduna,10.52,7.44,90.82,21,0,6.62,NG,1603896436
417,villazon,-22.09,-65.59,58.21,24,0,10.69,BO,1603896436
418,san cristobal,7.77,-72.22,81.95,53,90,3.58,VE,1603896178
419,tandalti,13.02,31.87,100.42,15,27,4.83,SD,1603896436
420,codrington,-38.27,141.97,49.48,92,41,5.32,AU,1603896436
421,berlevag,70.86,29.09,39.2,86,20,13.87,NO,1603896436
422,yumen,40.28,97.2,39.65,63,0,6.78,CN,1603896436
423,campbell river,50.02,-125.24,45.0,100,90,2.24,CA,1603896175
424,manta,-0.95,-80.73,78.8,74,40,9.17,EC,1603896279
425,ugoofaaru,5.67,73.0,83.03,72,89,7.38,MV,1603896436
426,tucurui,-3.77,-49.67,96.26,41,30,4.38,BR,1603896417
427,bambanglipuro,-7.95,110.28,78.04,87,100,5.88,ID,1603896436
428,nome,64.5,-165.41,27.75,92,62,6.22,US,1603896436
429,saint-georges,12.06,-61.75,84.31,73,100,10.85,GD,1603896437
430,mananara,-16.17,49.77,74.64,76,96,7.0,MG,1603896437
431,antalaha,-14.9,50.28,76.71,76,0,11.41,MG,1603896437
432,meulaboh,4.14,96.13,78.53,82,100,0.85,ID,1603896437
433,shimoda,34.67,138.95,57.0,70,96,1.99,JP,1603896437
434,barguzin,53.62,109.62,29.48,90,64,7.63,RU,1603896437
435,shubarkuduk,49.14,56.49,36.57,76,32,1.77,KZ,1603896437
436,kushima,31.46,131.23,64.44,83,44,3.89,JP,1603896437
437,rangapara,26.82,92.65,72.19,77,0,3.11,IN,1603896438
438,poum,-20.23,164.02,75.85,80,38,20.31,NC,1603896438
439,flinders,-34.58,150.86,60.01,87,100,1.01,AU,1603896438
440,santa cruz,-17.8,-63.17,84.2,58,40,23.04,BO,1603896213
441,kharovsk,59.96,40.19,46.56,85,100,10.02,RU,1603896438
442,syracuse,37.09,15.28,71.6,46,20,11.41,IT,1603896438
443,yar-sale,66.83,70.83,4.1,89,13,9.95,RU,1603896438
444,caninde de sao francisco,-9.66,-37.79,86.0,58,40,3.36,BR,1603896438
445,aykhal,66.0,111.5,-10.39,88,0,2.68,RU,1603896438
446,villa carlos paz,-31.42,-64.5,69.8,52,50,28.86,AR,1603896438
447,cururupu,-1.83,-44.87,90.86,50,83,8.14,BR,1603896438
448,longyearbyen,78.22,15.64,32.0,96,75,8.05,SJ,1603896439
449,zubtsov,56.18,34.59,45.68,82,61,8.14,RU,1603896439
450,coquimbo,-29.95,-71.34,60.8,67,0,11.41,CL,1603896439
451,bahile,10.0,118.79,78.37,79,83,3.85,PH,1603896439
452,stellenbosch,-33.93,18.87,64.0,64,80,8.99,ZA,1603896439
453,bardiyah,31.76,25.09,79.0,44,1,14.7,LY,1603896439
454,tacuarembo,-31.73,-55.98,74.05,64,24,2.21,UY,1603896439
455,hare bay,48.85,-54.01,32.0,82,40,13.87,CA,1603896439
456,tromso,69.65,18.96,35.6,83,0,2.24,NO,1603896406
457,ploemeur,47.73,-3.43,57.99,82,100,23.04,FR,1603896439
458,new amsterdam,6.25,-57.52,91.72,51,48,6.49,GY,1603896440
459,avera,33.19,-82.53,75.2,77,90,6.93,US,1603896440
460,kodinar,20.79,70.7,80.08,56,0,6.15,IN,1603896440
461,banda aceh,5.56,95.32,81.09,76,100,12.21,ID,1603896440
462,mecca,21.43,39.83,82.74,51,0,5.82,SA,1603896382
463,hay river,60.82,-115.8,10.4,92,20,4.7,CA,1603896440
464,abbeville,50.1,1.83,55.99,78,100,18.34,FR,1603896440
465,bilibino,68.05,166.44,1.47,86,92,0.89,RU,1603896441
466,port hardy,50.7,-127.42,48.2,100,90,6.93,CA,1603896441
467,kenai,60.55,-151.26,19.4,92,1,5.82,US,1603896441
468,biak,-0.91,122.88,77.77,81,33,3.09,ID,1603896441
469,itoman,26.12,127.67,75.2,69,20,8.05,JP,1603896441
470,luena,-11.78,19.92,81.37,48,54,5.95,AO,1603896441
471,aiken,33.58,-81.6,75.0,100,90,6.93,US,1603896254
472,elizabeth city,36.29,-76.25,69.8,88,90,9.17,US,1603896441
473,arlit,18.74,7.39,93.85,9,0,7.92,NE,1603896441
474,saint-pierre,-21.34,55.48,75.2,78,20,20.8,RE,1603896441
475,ban nahin,18.24,104.21,75.96,72,100,8.95,LA,1603896442
476,flin flon,54.77,-101.86,15.8,72,90,8.05,CA,1603896442
477,lima,-12.04,-77.03,66.0,82,90,5.82,PE,1603896255
478,ossora,59.24,163.07,30.58,92,2,3.2,RU,1603896442
479,san pedro,14.35,121.02,79.0,94,75,3.36,PH,1603896442
480,makakilo city,21.35,-158.09,71.6,94,1,3.36,US,1603896442
481,talnakh,69.49,88.4,-2.51,76,0,4.23,RU,1603896442
482,mamallapuram,12.63,80.17,80.6,78,40,8.05,IN,1603896442
483,wanning,18.8,110.4,78.42,87,100,19.62,CN,1603896442
484,gopalpur,19.27,84.92,77.65,54,0,4.54,IN,1603896442
485,tessalit,20.2,1.01,95.16,10,0,10.6,ML,1603896443
486,carleton place,45.13,-76.15,39.99,96,73,1.01,CA,1603896291
487,marystown,47.17,-55.15,40.78,68,9,13.98,CA,1603896443
488,selaphum,16.03,103.94,70.75,94,100,17.6,TH,1603896443
489,solnechnyy,50.72,136.63,31.08,97,100,4.59,RU,1603896443
490,kyren,51.68,102.14,35.13,76,42,4.99,RU,1603896443
491,beloha,-25.17,45.05,72.75,72,0,20.76,MG,1603896443
492,leningradskiy,69.38,178.42,17.53,87,100,6.4,RU,1603896443
493,adre,13.47,22.2,92.93,18,0,8.25,TD,1603896443
494,buin,-33.73,-70.75,68.0,54,0,3.36,CL,1603896443
495,salalah,17.02,54.09,84.2,74,75,12.75,OM,1603896443
496,san carlos de bariloche,-41.15,-71.31,46.4,52,40,25.28,AR,1603896444
497,loanda,-8.84,13.23,84.2,70,40,11.41,AO,1603896428
498,rawson,-43.3,-65.1,59.31,35,60,23.09,AR,1603896444
499,ginda,30.69,78.49,52.18,44,0,4.92,IN,1603896444
500,monterey,36.25,-121.25,51.8,34,1,11.41,US,1603896444
501,smoky lake,54.12,-112.47,27.0,98,77,5.26,CA,1603896187
502,carballo,43.21,-8.69,62.6,67,75,10.29,ES,1603896444
503,kendari,-3.94,122.5,77.92,83,48,3.49,ID,1603896444
504,son la,21.32,103.9,66.61,93,100,1.52,VN,1603896444
505,emba,48.83,58.14,38.35,69,0,1.81,KZ,1603896445
506,plymouth,41.83,-70.83,50.0,93,90,6.93,US,1603896167
507,broceni,56.7,22.53,51.01,79,99,5.99,LV,1603896445
508,najran,17.49,44.13,68.54,22,0,12.17,SA,1603896445
509,prince rupert,54.32,-130.32,41.0,100,75,2.55,CA,1603896445
510,tambopata,-12.73,-69.18,77.0,78,75,3.36,PE,1603896445
511,athabasca,54.72,-113.29,27.93,97,12,3.4,CA,1603896350
512,gamba,-2.65,10.0,75.7,90,100,1.48,GA,1603896445
513,eureka,40.8,-124.16,44.6,70,1,6.93,US,1603896182
514,nichinan,31.6,131.37,65.62,80,51,3.89,JP,1603896445
515,naifaru,5.44,73.37,82.92,73,87,7.18,MV,1603896445
516,hamilton,39.18,-84.53,52.0,93,90,4.7,US,1603896445
517,krasnoselkup,65.7,82.47,0.1,90,0,14.88,RU,1603896445
518,santo augusto,-27.85,-53.78,77.09,42,0,7.47,BR,1603896446
519,taoudenni,22.68,-3.98,98.92,9,0,3.56,ML,1603896446
520,zheleznodorozhnyy,55.75,38.0,48.2,66,0,6.71,RU,1603896446
521,belyy yar,53.6,91.39,34.74,82,100,12.84,RU,1603896446
522,ducheng,23.24,111.53,70.99,90,100,2.64,CN,1603896446
523,dakar,14.69,-17.44,102.2,26,0,6.93,SN,1603896304
524,byron bay,-28.65,153.62,64.4,100,83,5.82,AU,1603896446
525,galle,6.04,80.22,80.13,84,100,5.93,LK,1603896249
526,alice springs,-23.7,133.88,66.2,17,0,4.7,AU,1603896446
527,havre-saint-pierre,50.23,-63.6,24.8,73,1,5.82,CA,1603896446
528,denpasar,-8.65,115.22,82.4,78,40,5.82,ID,1603896446
529,tura,25.52,90.22,71.8,94,1,3.04,IN,1603896188
530,markova,48.68,24.41,53.6,81,75,8.95,UA,1603896446
531,marietta,33.95,-84.55,71.6,100,90,6.93,US,1603896378
532,vysotsk,60.63,28.57,46.4,93,75,5.82,RU,1603896447
533,worland,44.02,-107.96,17.6,92,1,2.37,US,1603896447
534,phek,25.67,94.5,56.93,100,0,1.52,IN,1603896447
535,fairbanks,64.84,-147.72,21.99,93,100,4.5,US,1603896447
536,labrea,-7.26,-64.8,91.81,50,94,4.0,BR,1603896447
537,mao,39.89,4.27,68.0,56,0,6.93,ES,1603896447
538,sungairaya,0.7,108.9,80.31,86,90,6.78,ID,1603896447
539,kalmunai,7.42,81.82,81.41,70,30,2.86,LK,1603896447
540,bakchar,57.02,82.07,20.17,95,100,10.92,RU,1603896447
541,pointe-noire,-4.78,11.86,75.2,94,75,8.05,CG,1603896447
542,manjacaze,-24.71,33.88,92.55,27,0,11.63,MZ,1603896448
543,jasper,37.2,-94.35,39.0,90,87,1.01,US,1603896448
544,mount isa,-20.73,139.5,60.8,25,0,4.7,AU,1603896448
545,yauya,-8.98,-77.3,60.91,51,98,4.14,PE,1603896448
546,pacific grove,36.62,-121.92,51.8,39,1,3.36,US,1603896255
547,redmond,47.67,-122.12,48.99,95,44,3.29,US,1603896299
548,kashima,33.11,130.09,62.01,87,0,2.24,JP,1603896449
549,puerto baquerizo moreno,-0.9,-89.6,68.0,94,90,5.82,EC,1603896449
550,nikki,9.94,3.21,92.55,26,41,4.52,BJ,1603896449
551,epe,6.58,3.98,85.91,70,58,7.85,NG,1603896449
552,isangel,-19.55,169.27,72.14,77,5,10.56,VU,1603896449
553,beidao,34.57,105.89,48.45,75,9,4.5,CN,1603896450
554,shingu,33.73,135.98,58.15,78,69,6.06,JP,1603896450
555,omurtag,43.1,26.42,59.0,82,90,4.7,BG,1603896450
556,yakeshi,49.28,120.73,20.34,88,0,3.49,CN,1603896450
557,tutoia,-2.76,-42.27,87.55,58,54,14.32,BR,1603896450
558,burns lake,54.23,-125.75,33.12,94,100,2.04,CA,1603896450
559,kaili,-3.46,120.21,70.95,79,100,2.13,ID,1603896450
560,ancud,-41.87,-73.82,53.01,81,75,6.93,CL,1603896450
561,roald,62.58,6.13,50.0,61,0,5.82,NO,1603896451
562,manzhouli,49.6,117.43,28.83,86,0,2.8,CN,1603896451
563,sur,22.57,59.53,76.33,60,0,8.52,OM,1603896451
564,tikhvin,59.65,33.53,45.9,91,64,5.23,RU,1603896451
565,vao,-22.67,167.48,71.98,78,88,16.71,NC,1603896451
566,tsabong,-26.02,22.4,96.28,13,78,8.7,BW,1603896451
567,amposta,40.71,0.58,64.99,60,100,1.99,ES,1603896451
568,batemans bay,-35.72,150.18,55.99,93,100,4.5,AU,1603896451
569,college,64.86,-147.8,21.99,87,100,4.14,US,1603896451
570,obertyn,48.7,25.17,60.01,81,75,8.95,UA,1603896451
571,inirida,3.87,-67.92,88.52,63,100,1.57,CO,1603896451
572,sangmelima,2.93,11.98,80.73,67,93,1.48,CM,1603896452
573,kahului,20.89,-156.47,75.2,83,1,3.36,US,1603896452
574,bilma,18.69,12.92,91.18,11,0,5.5,NE,1603896452
575,atasu,48.68,71.64,28.2,92,99,6.51,KZ,1603896452
576,la rioja,42.25,-2.5,66.2,52,20,6.24,ES,1603896452
577,sergeyevka,53.88,67.42,30.96,94,99,11.9,KZ,1603896452
578,valdivia,-39.81,-73.25,57.92,50,52,4.72,CL,1603896452
579,balykshi,47.07,51.87,43.52,57,39,8.39,KZ,1603896452
580,noyabrsk,63.2,75.45,2.71,92,0,12.03,RU,1603896452
581,haines junction,60.75,-137.51,26.78,95,100,0.94,CA,1603896452
582,jaguarari,-10.26,-40.2,86.38,48,100,4.52,BR,1603896453
583,bahia blanca,-38.72,-62.27,69.13,24,79,14.54,AR,1603896453
584,gravdal,68.12,13.5,42.8,87,75,5.82,NO,1603896453
585,mtwara,-10.27,40.18,84.2,58,20,12.75,TZ,1603896453
586,nola,40.92,14.53,66.99,61,33,1.99,IT,1603896453
587,svetlogorsk,52.63,29.73,50.41,81,0,6.78,BY,1603896453
588,mogadishu,2.04,45.34,80.42,81,10,8.39,SO,1603896453
589,neuquen,-38.95,-68.06,62.6,29,0,12.75,AR,1603896453
590,naze,28.37,129.48,66.2,88,53,4.7,JP,1603896453
591,tairua,-37.02,175.85,59.0,88,95,3.78,NZ,1603896453
592,umm kaddadah,13.6,26.69,94.48,15,0,17.63,SD,1603896453
593,curuca,-0.73,-47.85,92.59,48,2,10.4,BR,1603896454
594,cockburn town,21.46,-71.14,82.72,77,22,19.55,TC,1603896246
595,margate,51.38,1.39,53.01,82,100,4.0,GB,1603896190
596,okato,-39.2,173.88,60.01,96,100,4.0,NZ,1603896454
597,kibala,9.11,18.35,95.0,39,20,3.36,TD,1603896454
598,poso,-1.4,120.75,79.38,77,100,4.56,ID,1603896454
